MIP_ID	MIP_pool	MIP_production_date	MIP_producer	MIP_plate	MIP_position	MIP_instance
0001	01	11-07-2014	Biosearch	MIP01	A01	01
0002	01	11-07-2014	Biosearch	MIP01	B01	01
0003	01	11-07-2014	Biosearch	MIP01	C01	01
0004	01	11-07-2014	Biosearch	MIP01	D01	01
0005	01	11-07-2014	Biosearch	MIP01	E01	01
0006	01	11-07-2014	Biosearch	MIP01	F01	01
0007	01	11-07-2014	Biosearch	MIP01	G01	01
0008	01	11-07-2014	Biosearch	MIP01	H01	01
0009	01	11-07-2014	Biosearch	MIP01	A02	01
0010	01	11-07-2014	Sigma	MIP_SI	A01	01
0011	01	11-07-2014	Sigma	MIP_SI	B01	01
0012	01	11-07-2014	Sigma	MIP_SI	C01	01
0013	01	11-07-2014	Sigma	MIP_SI	D01	01
0014	01	11-07-2014	Sigma	MIP_SI	E01	01
0015	01	11-07-2014	Sigma	MIP_SI	F01	01
0016	01	11-07-2014	Sigma	MIP_SI	G01	01
0017	01	11-07-2014	Sigma	MIP_SI	H01	01
0018	01	11-07-2014	Sigma	MIP_SI	A02	01
0019	01	11-07-2014	Biosearch	MIP01	B02	01
0020	01	11-07-2014	Biosearch	MIP01	C02	01
0021	01	11-07-2014	Biosearch	MIP01	D02	01
0022	01	11-07-2014	Biosearch	MIP01	E02	01
0023	01	11-07-2014	Biosearch	MIP01	F02	01
0024	01	11-07-2014	Biosearch	MIP01	G02	01
0025	01	11-07-2014	Biosearch	MIP01	H02	01
0026	01	11-07-2014	Biosearch	MIP01	A03	01
0027	01	11-07-2014	Biosearch	MIP01	B03	01
0028	01	11-07-2014	Biosearch	MIP01	C03	01
0029	01	11-07-2014	Sigma	MIP_SI	B02	01
0030	01	11-07-2014	Sigma	MIP_SI	C02	01
0031	01	11-07-2014	Sigma	MIP_SI	D02	01
0032	01	11-07-2014	Sigma	MIP_SI	E02	01
0033	01	11-07-2014	Sigma	MIP_SI	F02	01
0034	01	11-07-2014	Sigma	MIP_SI	G02	01
0035	01	11-07-2014	Sigma	MIP_SI	H02	01
0036	01	11-07-2014	Sigma	MIP_SI	A03	01
0037	01	11-07-2014	Sigma	MIP_SI	B03	01
0038	01	11-07-2014	Sigma	MIP_SI	C03	01
0039	01	11-07-2014	Biosearch	MIP01	D03	01
0040	01	11-07-2014	Biosearch	MIP01	E03	01
0041	01	11-07-2014	Biosearch	MIP01	F03	01
0042	01	11-07-2014	Biosearch	MIP01	G03	01
0043	01	11-07-2014	Biosearch	MIP01	H03	01
0044	01	11-07-2014	Biosearch	MIP01	A04	01
0045	01	11-07-2014	Biosearch	MIP01	B04	01
0046	01	11-07-2014	Biosearch	MIP01	C04	01
0047	01	11-07-2014	Biosearch	MIP01	D04	01
0048	01	11-07-2014	Sigma	MIP_SI	D03	01
0049	01	11-07-2014	Sigma	MIP_SI	E03	01
0050	01	11-07-2014	Sigma	MIP_SI	F03	01
0051	01	11-07-2014	Sigma	MIP_SI	G03	01
0052	01	11-07-2014	Sigma	MIP_SI	H03	01
0053	01	11-07-2014	Sigma	MIP_SI	A04	01
0054	01	11-07-2014	Sigma	MIP_SI	B04	01
0055	01	11-07-2014	Sigma	MIP_SI	C04	01
0056	01	11-07-2014	Sigma	MIP_SI	D04	01
0057	02	15-09-2014	Biosearch	MIP02	A01	01
0058	02	15-09-2014	Biosearch	MIP02	B01	01
0059	02	15-09-2014	Biosearch	MIP02	C01	01
0060	02	15-09-2014	Biosearch	MIP02	D01	01
0061	02	15-09-2014	Biosearch	MIP02	E01	01
0062	02	15-09-2014	Biosearch	MIP02	F01	01
0063	02	15-09-2014	Biosearch	MIP02	G01	01
0064	02	15-09-2014	Biosearch	MIP02	H01	01
0065	02	15-09-2014	Biosearch	MIP02	A02	01
0066	02	15-09-2014	Biosearch	MIP02	B02	01
0067	02	15-09-2014	Biosearch	MIP02	C02	01
0068	02	15-09-2014	Biosearch	MIP02	D02	01
0069	02	15-09-2014	Biosearch	MIP02	E02	01
0070	02	15-09-2014	Biosearch	MIP02	F02	01
0071	02	15-09-2014	Biosearch	MIP02	G02	01
0072	02	15-09-2014	Biosearch	MIP02	H02	01
0073	02	15-09-2014	Biosearch	MIP02	A03	01
0074	02	15-09-2014	Biosearch	MIP02	B03	01
0075	02	15-09-2014	Biosearch	MIP02	C03	01
0076	02	15-09-2014	Biosearch	MIP02	D03	01
0077	02	15-09-2014	Biosearch	MIP02	E03	01
0078	02	15-09-2014	Biosearch	MIP02	F03	01
0079	02	15-09-2014	Biosearch	MIP02	G03	01
0080	02	15-09-2014	Biosearch	MIP02	H03	01
0081	02	15-09-2014	Biosearch	MIP02	A04	01
0082	02	15-09-2014	Biosearch	MIP02	B04	01
0083	02	15-09-2014	Biosearch	MIP02	C04	01
0084	02	15-09-2014	Biosearch	MIP02	D04	01
0085	02	15-09-2014	Biosearch	MIP02	E04	01
0086	02	15-09-2014	Biosearch	MIP02	F04	01
0087	02	15-09-2014	Biosearch	MIP02	G04	01
0088	02	15-09-2014	Biosearch	MIP02	H04	01
0089	02	15-09-2014	Biosearch	MIP02	A05	01
0090	02	15-09-2014	Biosearch	MIP02	B05	01
0091	02	15-09-2014	Biosearch	MIP02	C05	01
0092	02	15-09-2014	Biosearch	MIP02	D05	01
0093	02	15-09-2014	Biosearch	MIP02	E05	01
0094	02	15-09-2014	Biosearch	MIP02	F05	01
0095	02	15-09-2014	Biosearch	MIP02	G05	01
