MIP_ID	Subspecies	Subspecies_MIP_paralog
0001	ampelensis	no data
0001	graecus	no data
0001	hybF1	no data
0001	hybF2	no data
0001	lantzi	no data
0001	montandoni	no data
0001	vulgaris	no data
0002	ampelensis	no data
0002	graecus	no data
0002	hybF1	no data
0002	hybF2	no data
0002	lantzi	no data
0002	montandoni	no data
0002	vulgaris	no data
0003	ampelensis	no data
0003	graecus	no data
0003	hybF1	no data
0003	hybF2	no data
0003	lantzi	no data
0003	montandoni	no data
0003	vulgaris	no data
0004	ampelensis	no data
0004	graecus	no data
0004	hybF1	no data
0004	hybF2	no data
0004	lantzi	no data
0004	montandoni	no data
0004	vulgaris	no data
0005	ampelensis	no data
0005	graecus	no data
0005	hybF1	no data
0005	hybF2	no data
0005	lantzi	no data
0005	montandoni	no data
0005	vulgaris	no data
0006	ampelensis	no data
0006	graecus	no data
0006	hybF1	no data
0006	hybF2	no data
0006	lantzi	no data
0006	montandoni	no data
0006	vulgaris	no data
0007	ampelensis	no data
0007	graecus	no data
0007	hybF1	no data
0007	hybF2	no data
0007	lantzi	no data
0007	montandoni	no data
0007	vulgaris	no data
0008	ampelensis	no data
0008	graecus	no data
0008	hybF1	no data
0008	hybF2	no data
0008	lantzi	no data
0008	montandoni	no data
0008	vulgaris	no data
0009	ampelensis	no data
0009	graecus	no data
0009	hybF1	no data
0009	hybF2	no data
0009	lantzi	no data
0009	montandoni	no data
0009	vulgaris	no data
0010	ampelensis	no data
0010	graecus	no data
0010	hybF1	no data
0010	hybF2	no data
0010	lantzi	no data
0010	montandoni	no data
0010	vulgaris	no data
0011	ampelensis	no data
0011	graecus	no data
0011	hybF1	no data
0011	hybF2	no data
0011	lantzi	no data
0011	montandoni	no data
0011	vulgaris	no data
0012	ampelensis	no data
0012	graecus	no data
0012	hybF1	no data
0012	hybF2	no data
0012	lantzi	no data
0012	montandoni	no data
0012	vulgaris	no data
0013	ampelensis	no data
0013	graecus	no data
0013	hybF1	no data
0013	hybF2	no data
0013	lantzi	no data
0013	montandoni	no data
0013	vulgaris	no data
0014	ampelensis	no data
0014	graecus	no data
0014	hybF1	no data
0014	hybF2	no data
0014	lantzi	no data
0014	montandoni	no data
0014	vulgaris	no data
0015	ampelensis	no data
0015	graecus	no data
0015	hybF1	no data
0015	hybF2	no data
0015	lantzi	no data
0015	montandoni	no data
0015	vulgaris	no data
0016	ampelensis	no data
0016	graecus	no data
0016	hybF1	no data
0016	hybF2	no data
0016	lantzi	no data
0016	montandoni	no data
0016	vulgaris	no data
0017	ampelensis	no data
0017	graecus	no data
0017	hybF1	no data
0017	hybF2	no data
0017	lantzi	no data
0017	montandoni	no data
0017	vulgaris	no data
0018	ampelensis	no data
0018	graecus	no data
0018	hybF1	no data
0018	hybF2	no data
0018	lantzi	no data
0018	montandoni	no data
0018	vulgaris	no data
0019	ampelensis	no data
0019	graecus	no data
0019	hybF1	no data
0019	hybF2	no data
0019	lantzi	no data
0019	montandoni	no data
0019	vulgaris	no data
0020	ampelensis	no data
0020	graecus	no data
0020	hybF1	no data
0020	hybF2	no data
0020	lantzi	no data
0020	montandoni	no data
0020	vulgaris	no data
0021	ampelensis	no data
0021	graecus	no data
0021	hybF1	no data
0021	hybF2	no data
0021	lantzi	no data
0021	montandoni	no data
0021	vulgaris	no data
0022	ampelensis	no data
0022	graecus	no data
0022	hybF1	no data
0022	hybF2	no data
0022	lantzi	no data
0022	montandoni	no data
0022	vulgaris	no data
0023	ampelensis	no data
0023	graecus	no data
0023	hybF1	no data
0023	hybF2	no data
0023	lantzi	no data
0023	montandoni	no data
0023	vulgaris	no data
0024	ampelensis	no data
0024	graecus	no data
0024	hybF1	no data
0024	hybF2	no data
0024	lantzi	no data
0024	montandoni	no data
0024	vulgaris	no data
0025	ampelensis	no data
0025	graecus	no data
0025	hybF1	no data
0025	hybF2	no data
0025	lantzi	no data
0025	montandoni	no data
0025	vulgaris	no data
0026	ampelensis	no data
0026	graecus	no data
0026	hybF1	no data
0026	hybF2	no data
0026	lantzi	no data
0026	montandoni	no data
0026	vulgaris	no data
0027	ampelensis	no data
0027	graecus	no data
0027	hybF1	no data
0027	hybF2	no data
0027	lantzi	no data
0027	montandoni	no data
0027	vulgaris	no data
0028	ampelensis	no data
0028	graecus	no data
0028	hybF1	no data
0028	hybF2	no data
0028	lantzi	no data
0028	montandoni	no data
0028	vulgaris	no data
0029	ampelensis	no data
0029	graecus	no data
0029	hybF1	no data
0029	hybF2	no data
0029	lantzi	no data
0029	montandoni	no data
0029	vulgaris	no data
0030	ampelensis	no data
0030	graecus	no data
0030	hybF1	no data
0030	hybF2	no data
0030	lantzi	no data
0030	montandoni	no data
0030	vulgaris	no data
0031	ampelensis	no data
0031	graecus	no data
0031	hybF1	no data
0031	hybF2	no data
0031	lantzi	no data
0031	montandoni	no data
0031	vulgaris	no data
0032	ampelensis	no data
0032	graecus	no data
0032	hybF1	no data
0032	hybF2	no data
0032	lantzi	no data
0032	montandoni	no data
0032	vulgaris	no data
0033	ampelensis	no data
0033	graecus	no data
0033	hybF1	no data
0033	hybF2	no data
0033	lantzi	no data
0033	montandoni	no data
0033	vulgaris	no data
0034	ampelensis	no data
0034	graecus	no data
0034	hybF1	no data
0034	hybF2	no data
0034	lantzi	no data
0034	montandoni	no data
0034	vulgaris	no data
0035	ampelensis	no data
0035	graecus	no data
0035	hybF1	no data
0035	hybF2	no data
0035	lantzi	no data
0035	montandoni	no data
0035	vulgaris	no data
0036	ampelensis	no data
0036	graecus	no data
0036	hybF1	no data
0036	hybF2	no data
0036	lantzi	no data
0036	montandoni	no data
0036	vulgaris	no data
0037	ampelensis	no data
0037	graecus	no data
0037	hybF1	no data
0037	hybF2	no data
0037	lantzi	no data
0037	montandoni	no data
0037	vulgaris	no data
0038	ampelensis	no data
0038	graecus	no data
0038	hybF1	no data
0038	hybF2	no data
0038	lantzi	no data
0038	montandoni	no data
0038	vulgaris	no data
0039	ampelensis	no data
0039	graecus	no data
0039	hybF1	no data
0039	hybF2	no data
0039	lantzi	no data
0039	montandoni	no data
0039	vulgaris	no data
0040	ampelensis	no data
0040	graecus	no data
0040	hybF1	no data
0040	hybF2	no data
0040	lantzi	no data
0040	montandoni	no data
0040	vulgaris	no data
0041	ampelensis	no data
0041	graecus	no data
0041	hybF1	no data
0041	hybF2	no data
0041	lantzi	no data
0041	montandoni	no data
0041	vulgaris	no data
0042	ampelensis	no data
0042	graecus	no data
0042	hybF1	no data
0042	hybF2	no data
0042	lantzi	no data
0042	montandoni	no data
0042	vulgaris	no data
0043	ampelensis	no data
0043	graecus	no data
0043	hybF1	no data
0043	hybF2	no data
0043	lantzi	no data
0043	montandoni	no data
0043	vulgaris	no data
0044	ampelensis	no data
0044	graecus	no data
0044	hybF1	no data
0044	hybF2	no data
0044	lantzi	no data
0044	montandoni	no data
0044	vulgaris	no data
0045	ampelensis	no data
0045	graecus	no data
0045	hybF1	no data
0045	hybF2	no data
0045	lantzi	no data
0045	montandoni	no data
0045	vulgaris	no data
0046	ampelensis	no data
0046	graecus	no data
0046	hybF1	no data
0046	hybF2	no data
0046	lantzi	no data
0046	montandoni	no data
